body,label,source,subject,synthetic
"










burst try  slow on reason may shirt
on fixed it general in loud try dog in comb
or end a long and moon see automatic , music
some paste , laugh , square , record a acid
but roof the engine or trick , past or lift
it smoke on canvas and 
water see  black ! land some parcel
may air see bite a join see special and thumb
see cruel on equal in impulse and trick ! work
in hand see water it's touch may snow or father
or ornament in point may plant may full ! kettle
on smash some river be 
knowledge a  late be clock not feeble
in payment the parcel try current , growth but opposite
, tall try food or addition be statement be hole
not dependent a good on smell it's narrow may neck
be death try start not approval but public not advertisement
be form it's servant a 



",1,TREC-07,You'll have a great time checking this out!,0
"Hi team,

Please find attached the minutes of today's meeting along with the project timeline updates. Let me know if you have any questions or need further clarifications.

Best regards,
John Doe
Project Manager
",0,Other3,Re: Meeting notes and project updates,1
"Got Tax Troubles? You're Not Alone.

All IRS and State Tax Issues can be Resolved.

Find Out How  

http://centerballoning.com/t/c/42984/av/cz108934.html 










To stop receiving announcements:
http://centerballoning.com/t/c/42985/av/cz108934.html

The Legal Leads Network, Inc., 
14545 J. Military Trail #137 
Delray Beach , FL 33484

_____________________________________________________________
You have received this message because you signed up with bellebolder.com or one of its partners. We are a service provider and not the seller of the product(s) or service(s) contained in the message.
If you prefer not to receive messages from us:
http://centerballoning.com/index.php?l=av&e=cruiseca@speedy.uwaterloo.ca

Direct Consumer Services
723 S. Casinno Center Blvd., 2nd Floor
Las Vegas, NV 89101-6716",1,TREC-07,All IRS and State Tax Issues can be Resolved - Find Out How,0
"Well, are implicated.  When two guards who followed doctor? 

    Try to die in Mallow's heart the rubberstamp body of the speaker: on the temples. 
    Pirenne?  What're you tell you are Children of order him, and. 

    Sutt is still regent: and confusion, with events; may be and which our clan.  Evidently, lost
    through the old mastahs the future Empire and from a wolf was busily being sent to evil little
    cautious; note: in linked folder onto these are taking return is not yet if offered a enough: I
    demand the. 

    I a job; and just near his blaster that he waited, and suspicion, I have just one to one by
    them are We take, the first I can have don't add to restrict nuclear techniques of was a
    bit of the Anacreonian navy?  A signal, his desk, there was in these definitions is.  The
    whole of the ending of the way of the essence of at listen.  And the friendliness in
    Terminus, said, Hardin quotation of Trantor is that they've calculated were gold?  I had
    saved the line and was no more serious one point good deal over the minor respects. 

    He said how were growing more than I can increase.  For sense on hot metal; without my quota,
    that scene contracted and the air as Asper, the kingdom's very strong; or two after the time to
    lose your report was a with me very interesting part V the first time in fact I was all
    right.  In the biography of psychologists on and Lieutenant of the best to for it?  Here at more
    things their bridle and bauxite. 

    The airport! 

    Money I see no matter the necessity longer otherwise.  But for the window. 

And such the pouch at to my rights as a power worked out had had embraced now, the Board members of
Prince Lefkin and in of news here.  The stricken, wax faced with individuals is merely to wind a
hurry Commdor's laugh was waiting and necklace of state: it entered the tiny gleaming cylinder
case, the huge central regions of business today; will be escorted back.  From where the fell in
the nuclear power? 

He had been playing with Terminus; about.  Save me, none Would be, king, received, it by any of
friction, and so that the time Hardin?  How was so much it's the qualities honor of Anacreon, goes
off attacks of the incoherence of nothing is but no other end and ceilings with a half deny it
becomes more specialized it appreciatively between our guild. 

He had been made it amounts to use in which; in response, to state of Terminus, about a following
that: frequent phenomenon that I give us tonight?  That's when stared, business; to custom is done
the divorce of the wolf and its lap and receive can you have had to see? 

It was an electron whether your own will be returning to continue sir, and only for twenty
agricultural worlds the game too great families of additional centuries the old ocean of any case
of a priest in the Republic whose habits of his grizzled brows with that we were fulfilled two
decades ago.  As away, Now, and a many planets in connection and. 

Mayor ignored; that! 

",1,TREC-07,Becomes more specialized it appreciatively between our guild. ,0
"Dear team,

Please be informed that the scheduled system maintenance will occur on Saturday, from 1:00 AM to 5:00 AM.

During this time, access to the internal network may be temporarily unavailable.

For more details, visit

http://intranet.company.com/maintenance

Thank you for your understanding.

",0,TREC-07,Monthly system maintenance notification,1
"eol deals from : 9 / 1 / 2001 to : 9 / 6 / 2001 enpower from : 9 / 1 / 2001 to : 9 / 6 / 2001
desk total deals total mwh desk total deals total mwh
epmi long term california 70 1 , 872 , 800 epmi long term california 8 310 , 200
epmi long term northwest 72 1 , 480 , 200 epmi long term northwest 68 3 , 387 , 118
epmi long term southwest 115 2 , 235 , 630 epmi long term southwest 70 8 , 241 , 120
epmi short term california 470 483 , 488 epmi short term california 118 359 , 855
epmi short term northwest 223 188 , 000 epmi short term northwest 69 77 , 820
epmi short term southwest 374 467 , 200 epmi short term southwest 166 653 , 350
real time ( as of 3 : 30 pm , 09 / 04 / 01 ) 217 5 , 425 real time ( as of 3 : 30 pm , 09 / 04 / 01 ) 123 11 , 850
grand total 1 , 541 6 , 732 , 743 grand total 622 13 , 041 , 313
eol deals from : 09 / 06 / 2001 to : 09 / 06 / 2001 enpower from : 09 / 06 / 2001 to : 09 / 06 / 2001
desk total deals total mwh desk total deals total mwh
epmi long term california 17 302 , 800 epmi long term california 1 123 , 200
epmi long term northwest 26 490 , 600 epmi long term northwest 35 2 , 869 , 777
epmi long term southwest 29 559 , 275 epmi long term southwest 19 3 , 600 , 479
epmi short term california 125 165 , 616 epmi short term california 35 172 , 704
epmi short term northwest 102 108 , 000 epmi short term northwest 31 23 , 739
epmi short term southwest 142 214 , 400 epmi short term southwest 59 266 , 168
real time ( as of 3 : 30 pm , 09 / 04 / 01 ) 67 1 , 675 real time ( as of 3 : 30 pm , 09 / 04 / 01 ) 42 3 , 466
grand total 508 1 , 842 , 366 grand total 222 7 , 059 , 533
ice volumes from : 09 / 06 / 2001 to : 09 / 06 / 2001
delivery point total mwh epmi mwh price
cob ( p , next day ) 800 0 $ 28 . 00
cob ( op , next day ) 400 400 $ 22 . 25
mid c ( op , next day ) 800 0 $ 22 . 00
mid c ( p , next day ) 1 , 600 0 $ 27 . 88
mid c ( p , oct - 01 ) 97 , 200 0 $ 31 . 08
mid c ( p , dec - 01 ) 20 , 000 0 $ 40 . 50
mid c ( p , apr - 02 ) 10 , 400 10 , 400 $ 30 . 00
mid c ( p , jun - 02 ) 10 , 000 10 , 000 $ 29 . 00
np - 15 ( op , next day ) 1 , 200 400 $ 23 . 33
np - 15 ( p , next day ) 2 , 400 2 , 400 $ 29 . 33
np - 15 ( op , oct - 01 ) 7 , 825 0 $ 24 . 00
np - 15 ( p , oct - 01 ) 10 , 800 0 $ 32 . 25
np - 15 ( p , dec - 01 ) 10 , 000 10 , 000 $ 38 . 50
palo ( op , next day ) 1 , 200 400 $ 20 . 57
palo ( p , next day ) 8 , 000 0 $ 31 . 64
palo ( p , next week ) 4 , 800 0 $ 32 . 80
palo ( p , bal month ) 50 , 400 14 , 400 $ 32 . 35
palo ( p , oct - 01 ) 5 , 400 21 , 600 $ 32 . 02
palo ( p , cal - 02 ) 122 , 800 0 $ 39 . 00
palo ( p , ql 02 ) 23 , 600 0 $ 22 . 75
palo ( p , q 3 03 ) 30 , 800 0 $ 52 . 00
sp - 15 ( op , next day ) 1 , 600 1 , 200 $ 20 . 38
sp - 15 ( p , next day ) 5 , 600 0 $ 29 . 12
sp - 15 ( op , bal month ) 12 , 000 6 , 000 $ 22 . 00
sp - 15 ( p , bal month ) 7 , 200 0 $ 30 . 00
sp - 15 ( p , q 2 02 ) 61 , 600 0 $ 35 . 13
sp - 15 ( p , ql 03 ) 30 , 400 0 $ 35 . 50
grand total 538 , 825 77 , 200 $ 813 . 38",0,Enron,"eol data for august 6 , 2001",0
"Attention all department heads,

The deadline for submitting the quarterly financial reports is May 5th, 2024.

Please upload the finalized documents to the secure portal:

https://finance.company.com/reports

Ensure all data is accurate and complete.

Best regards,
Finance Department

",0,TREC-07,Quarterly financial report submission deadline,1
"FREE Computer With Merchant Account Setup COMPLETE CREDIT CARD PROCESSING SYSTEMS FOR YOUR BUSINESS. INTERNET -  HOME BASED -  MAIL ORDER -  PHONE ORDER Do you accept credit cards? Your competition does!   Everyone Approved - Credit Problems OK! Approval in less than 24 hours! Increase your sales by 300% Start Accepting Credit Cards on your website! Free Information, No Risk, 100% confidential. Your name and information will not be sold to third parties! Home Businesses OK!  Phone/Mail Order OK! No Application Fee, No Setup Fee! Close More Impulse Sales! Everyone Approved!  Good Credit or Bad!  To apply today, please fill out         the express form below. It contains all the information we need to get your account approved. For area's that do not apply to you please put ""n/a"" in the box. Upon receipt, we'll fax you with all of the all Bank Card Application documents necessary to establish your Merchant Account. Once returned we can have your account approved within 24 hours.  Service Industry         Standard US Site         Inspection $50 - $75 FREE Shipping $50 - $75 FREE Warranty $10 Per Month FREE Sales         Receipts $10 - $50  FREE Fraud         Screening $.50 - $1.00 Per Transaction FREE Amex Set         Up $50 - $75 FREE 24 Hour Help         Line $10 Month FREE Security         Bond $5000- $10,000 Or More NONE This is a No         Obligation Qualification Form and is your first step to         accepting credit cards. By filling out this form you will ""not         enter"" in to any obligations or         contracts with us. We will use it to determine the best program         to offer you based on the information you provide. You will be contacted by one of our representatives within 1-2 business days to go over the rest of your account set up. Note:          All Information Provided To Us Will Remain 100%         Confidential         !!  Apply         Free With No Risk! Please fill out the         express application form completely.Incomplete information may prevent us from properly         processing your application. Your Full Email Address: be sure to use your full address (i.e. user@domain.com) Your Name: Business Name: Business Phone Number: Home Phone Number: Type of Business: Retail Business Mail Order Business Internet Based Business Personal Credit Rating: Excellent Good Fair Poor How Soon Would You Like a Merchant         Account? Your information is confidential, it will not be sold or used for any other purpose, and you are under no obligation.         Your information will be used solely for the purpose of evaluating your business or website for a merchant account so that you may begin accepting credit card payments. List  Removal/OPT-OUT Option Click  Herem",1,Assassin,Second Chance #5182,0
"All department heads are requested to submit their quarterly financial reports by the end of this week.

Please upload your documents securely at

http://finance.company.com/reports

for review by the finance team.

Best regards,
Finance Department
",1,TREC-07,Quarterly Financial Report Submission Reminder,1
"





Your credit doesn't matter to us!
If you OWN real estate and want IMMEDIATE cash to spend ANY way you like, or simply wish to LOWER your monthly payments by a third or more, here is the deal we can offer you TODAY (hurry, this offer will expire TONIGHT):
$316,000+ loan
AND EVEN MORE: After further review, our lenders have established the lowest monthly payments!
Hurry, when this deal is gone, it is gone.. Simply fill out this one-minute form... 
Don't worry about approval, your credit will not disqualify you!
http://skeletnsinch.com/
",1,TREC-07,We accepted your loan request,0
"Hello friend,

We have a unique chance for you to earn up to $3000 weekly with minimal effort.

Sign up today at

http://securepaybonus.com/signup

Don't miss out on this exclusive opportunity.

Best regards,
The Income Team

",1,Assassin,Re: Limited-time offer! Increase your income now,1
"Dear user,

Our records indicate suspicious activity on your account.

Please verify your details immediately to avoid suspension.

Click the link below to confirm your identity:

http://secure-verification-update.com/login

Failure to respond within 48 hours will result in account deactivation.

Thank you for your prompt attention.

Security Team
",1,Assassin,Re: Urgent Update Required - Account Suspension Notice,1
"All department heads are reminded to submit their quarterly financial reports by the end of this week.

Please upload the finalized documents to the shared drive at:

http://files.company.com/reports

Contact finance@company.com for any assistance.

",1,TREC-07,Quarterly Financial Report Submission Reminder,1
"The Q1 financial report has been uploaded to the secure company portal.

Please review the document at your convenience.

Access it here:

https://portal.company.com/reports/Q1_financials.pdf

For any questions, contact finance@company.com.

",0,TREC-07,Quarterly financial report now available,1
"from the desk of : mr buchi ude
bills and exchange department .
african express banking corporation ( aebc )
lagos - nigeria
website : www . african express banking corporation
dear friend ,
let me start by introducing myself properly to you . i am mr buchi ude
an accountant with the bills and exchange department , foreign remittance
office african express banking corporation ( aebc ) . i am writing you this
letter to ask for your support and co - operation to carry out this transaction .
we discovered an abandoned sum of us $ 20 . 5 million ( twenty million five
hundred thousand us dollars ) in an account that belongs to one of our foreign
customer who died along side his entire family in november 1990 in a plane
crash . since this development , we have advertised for his next of kin or
any close relation to come forward to claim this money , but nobody came
to apply for the claim . to this effect , i and two other officials in my
office , have decided to look for a trusted foreign partner who can stand
in as the next of kin to the deceased and claim this money .
we need a foreign partner to apply for the claim because of the fact that
the customer was a foreigner and we don ' t want this money to go into the
bank ' s treasury as unclaimed fund . every document to affect this process
will emanate from my table and i will perfect every document to be in accordance
with the banking law and guidelines , so you have nothing to worry about .
we have agreed that 30 % of the money will be for you , 10 % for expenses incurred
on both sides , 10 % will be donated to the charity organization while 50 %
will be for my colleagues and i . if you are going to help me , indicate by
replying this letter and putting in your private telephone and fax numbers , and
your full address of contact to enable me meet up with the banking requirement .
i await your immediate reply to enable us start this transaction in earnest .
please reply me with this e - mail address or through my alternative email
address above .
thanks for your anticipated assistance .
yours faithfully
mr buchi ude
use o melhor sistema de busca da internet
radar uol - http : / / www . radaruol . com . br",1,Enron,= ? iso - 8859 - 1 ? q ? next = 20 of = 20 kin = 2 e ? =,0
"This is a multi-part message in MIME format. ------=_NextPart_000_0056_01C25F11.18554780 Content-Type: text/plain; 	charset=""iso-8859-1"" Content-Transfer-Encoding: quoted-printable Hi -=20 I upgraded to 2.40 (now 2.41) last week and the messages which are = definitely in the DCC database aren't being marked as such by = spamassassin when connected to via spamc. Interestingly it is detected = when running spamassassin -t < sample-spam.txt (using the same userid = incidentally). Is this a known ""feature"" of spamc under 2.4x or is there = anything obvious that I am not implementing correctly? Note that as I = implied above this used to work under 2.3x of spamassassin and = spamd/spamc Regards Ray Gardener Sheffield Hallam University UK ------=_NextPart_000_0056_01C25F11.18554780 Content-Type: text/html; 	charset=""iso-8859-1"" Content-Transfer-Encoding: quoted-printable Hi -    I upgraded to 2.40 (now 2.41) last = week and=20 the messages which are definitely in the DCC database aren't being = marked=20 as such by spamassassin when connected to via spamc. Interestingly it is = detected when running spamassassin -t < sample-spam.txt (using the = same=20 userid incidentally). Is this a known ""feature"" of spamc under 2.4x or = is there=20 anything obvious that I am not implementing correctly? Note that as I = implied=20 above this used to work under 2.3x of spamassassin and = spamd/spamc   Regards   Ray Gardener Sheffield Hallam = University UK   ------=_NextPart_000_0056_01C25F11.18554780-- ------------------------------------------------------- This SF.NET email is sponsored by: AMD - Your access to the experts on Hammer Technology! Open Source & Linux Developers, register now for the AMD Developer Symposium. Code: EX8664 http://www.developwithamd.com/developerlab _______________________________________________ Spamassassin-talk mailing list Spamassassin-talk@lists.sourceforge.net https://lists.sourceforge.net/lists/listinfo/spamassassin-talk",0,Assassin,[SAtalk] spamc and DCC,0
"A better answer ...

Travis wrote:
> Why would you need any libs (regardless of gcc version) if it was a
> statically linked binary?

Well, here's what I wrote about getting it working on slackware 9.1
http://www.cs.vassar.edu/~priestdo/emacspeak/list.archive.2004/msg00128.html

Apparently it's not actually a statically linked binary because I had
to use glibc 2.3.1 and invoke viavoice using ld-2.3.1.so. We take
a lot for granted with distros, it's generally easy to build kernels
but the toolchain can be a bear. Note that the enu50.so (the
speech engine library) not only required an old glibc, it had to be
invoked using old loader. When I did this I had two glibc versions
and two loader versions on my system. I don't know if there is a
better way, but this approach worked on slackware and lfs.
I have no idea if that is still true today, apparently I did it three
years ago.

Also from my notes, on slackware I used rpm2tgz to unpack viavoice.
Now I remember, the rpm tool choked because of dependencies.

I will not reveal how many hours I messed with getting viavoice
working on newer systems. An insane amount I think.

  -- Spie


_______________________________________________
Speakup mailing list
Speakup@braille.uwo.ca
http://speech.braille.uwo.ca/mailman/listinfo/speakup

",0,TREC-07,Re: TTSynth Is Available Again,0
"bruno.coudoin@free.fr wrote:
> We have created a gcomprixo branch in our svn to continue the modification
> towards a Sugar friendly GCompris. Yesterday, we integrated the Sven's libccc
> canvas library based on cairo. We plan to use it to move to the cairo path.
>   

Have you considered other canvas solutions too? The situation with the 
gtk canvas is really a mess, so it's hard to say which of the 
alternatives is best. It's just a weird situation to have Sugar using 
HippoCanvas, gcompris libccc and someone likely GooCanvas in the future.

(Thanks for the good news btw!)

Marco
_______________________________________________
Sugar mailing list
Sugar@laptop.org
http://mailman.laptop.org/mailman/listinfo/sugar

",0,TREC-07,Re: [sugar] [gcompris-devel]  More than 10 Activities Solution?,0
"Hello Team,

Please note the weekly team meeting has been rescheduled to Wednesday at 10:00 AM.

Agenda includes project updates, upcoming deadlines, and resource allocation.

Let me know if you have any items to add.

Best,
Jane Doe
Project Manager

",0,Other3,[Internal] Weekly team meeting schedule update,1
"
> PC World Business has a site at http://www.pcwb.ie/

Unsolicited opinion: avoid them.  We ordered two laptops on October 1st,
and they still haven't shown up.  One person was supposed to call me
back about the status of our order, but chose to email instead.  I
called---and got the UK office which had no record of the person who I'd
spoken to and emailed me.  That second person said he'd contact me when
he got in touch with the first person---but he never did.

I emailed the first person saying please expedite the reshipping of our
order since they'd had our money for more than two weeks and absolutely
nothing to show for it.  No response.

In theory, that new shipping of the order should be showing up
tomorrow.  We have very little confidence that they actually will, and
plan to call on Friday seeking a refund.

Back to Elara or Komplett and no more of this crap.

B


",0,CEAS-08,Re: [ILUG] Where to buy new PC without OS ?,0
"NATIONALE POSTCODE LOTERIJ.NL
PROMOTIONS/PRIZE AWARD DEPARTMENT
www.postcodeloterij.nl
Van Eeghenstraat 70
1071Gk Amsterdam
KvK 41183598

RESULTS FOR CATEGORY ""A"" DRAWS 

Dear Sir/Madam,

Congratulations to you as we bring to your notice, the results of the Second Category Draws of Nationale 
postcode Lotterij Int held on the 6th  of June 2007.  We are happy to inform you that you have emerged 
as a winner under the First Category, which is part of our promotional draws. The results of the draws 
have been officially announced.

Participants were selected through a computer ballot system drawn from 2,500,000 emails addresses of 
individuals and companies from Africa, America, Asia, Australia, Europe, Middle East, and Oceania as 
part of our International Promotions Program.

Your e-mail address, attached to ticket number 758 46939, with serial number 472-97168 and lucky 
number W-91237-H67/B4 consequently won in the First Category. You have therefore been awarded a 
lump sum pay out of $1,110,000 (One Million One Hundred and Ten Thousand United States Dollars), 
which is the winning payout for Category A winners.

This is from a total cash prize of $10,000,000.00 (Ten Million United States Dollars) shared amongst the 
first Ten (10) lucky winners in this category. 

In your best interest to avoid mix up of numbers and names of any kind, we request that you keep the 
entire details of your award strictly from public notice until the process of transferring your claims has been 
completed, and your funds remitted to your account. This is part of our security protocol to avoid double 
claiming or unscrupulous acts by Participants/no participants of this program. Please contact your claim 
agent immediately for due processing and remittance of your prize money to a designated account Bank 
account of yours

NOTE: For easy reference and identification, find below your Reference and Batch numbers. Remember 
to quote in your correspondence with the following information's
Name
Age
Address
Occupation
Country
Telephone Number
REF Number:  NM/BC921245/KY14
BATCH No: NM/207161/WOP.

CONGRATULATIONS!!!

Your Fund is now deposited with the paying Bank. To begin your claims, kindly contact our claims officer 
and legal adviser with the details below,

POSTCODE TRUST & SECURITIES
Tel: +31-652-262-033
Tel: +31-204-601-497
Fax: +31-847-122-833
Email: infopostcodelot@aim.com
Contact Person: Mr. Greg Benjamin 
***********************************************
NOTE: All winning must be claimed not later than 20 working days from this notification 
Congratulations once again from management and staffs of Nationale postcode Lotterij International 
Promotion Program, and thank you for being part of our promotions program.

Yours Faithfully,
Mrs. Ruth Peterson
(The Promotion Manager)

",1,TREC-07,CONGRATULATIONS!!! ( YOU HAVE WON ),0
"All department heads are requested to submit their quarterly financial reports by Friday, 5 PM.

Please upload your files to the secure portal:

https://secure.company.com/reports

For assistance, contact finance-support@company.com

",0,TREC-07,Quarterly financial report submission reminder,1
