subject,body,label,source
Re: [Python-3000] indexing wart,"On Wed, Mar 5, 2008 at 5:33 AM, Neal Becker  wrote: > It is a bit unfortunate that slicing has a singularity. > > samples_to_trim = (some calculation yielding an integer >= 0) > > > trimmed_vector = vector[:-samples_to_trim] if samples_to_trim != 0 else > vector[:] > > A bit unfortunate that the case of samples_to_trim == 0 has to be handled > differently. > > I don't really see any solution to this. Just transform the problem away. If you can guarantee that samples_to_trim is <= len(vector), then it's trivial: trimmed_vector = vector[:len(vector) - samples_to_trim] If not, it gets more complicated, but you can wrap the upper bound in a max(0, ...). --  Michael Urman _______________________________________________ Python-3000 mailing list smsbmo-9552@python.org http://mail.python.org/mailman/listinfo/python-3000 Unsubscribe: http://mail.python.org/mailman/options/python-3000/python-3000%40tangomu.com",0,CEAS-08
executive bonanza childish fulsome,"the only proven metzhod to enhkance the gitrth and lenwght of your pexnis !
both of our pronducts will work for you .
1 . the best suppjlement avaiplable ! - really works !
fiand it heree
and
2 . enhaxncement oil - get stilff as a ronck in 60 seckonds !
fintd it hvere
the two protducts wolrk great togexther
for women only , our excllusive muti - orgyasmic oil .
fwind it heure
unvsubvscrtibe
descent incaution demarcate penury counterflow cotty depressor affirmative domenico ninety automat lopez caucasian inert inroad invoke shiv asthma humphrey adrenaline northrop blameworthy grovel automorphic deceive avocation cognate frontiersman hashish fluent fungible escapee bedroom horizon axiology crib
conversant prevention decisionmake demonstrable duma crestview portrayal elmsford chevalier jiffy lin christmas equidistant hays aboard coneflower aback furniture childish collagen flub elmhurst adventitious bullet appian prophet octagon invariant infantryman bus compare grunt browbeaten ankara conn indict cdc contact
mannerism cotillion clue credulity ankle command drone flatware isfahan barton hieratic carolyn amoeba shah fontainebleau abrupt insolent implore huston apathy indebted fundraise helsinki proviso penh propitious kemp coddington
accost astronaut appropriate extol door commonweal inclement each britten approximable adamson accord cone seraphim boucher baden lexical preston accustom sallow cassius breastplate moloch prosthesis cloudburst bipartisan getty bemadden sexual bowstring fiendish admitted fitzroy shutdown
hangover hangable entity emblematic empiric capstone bail airlift consecutive navy et affricate capillary lexicography sinter fitful i ' s automotive ghastly jackson rubbish efficacious bellwether acs
fedders signature appointee honeycomb impassive cylindric pterodactyl dispel impeach koala fangled dan blunder holland
frequent indecent cursive extent bead macintosh euphoric milord alcott brenda gilead node papaw expurgate broglie cohort fredericton flamboyant h pompano chopin higgins
andesine backstage corpora couscous euridyce alum ablaze alma ellis goodman classroom sinh hilarity cubbyhole simpson finnegan pestilential guardia janeiro fargo
cockatoo blood conveyor polygon garnet more secret parade pigpen fingernail gustav gamecock exigent forrest abode orphan canyon offprint fold
fungal maintenance servo psychoacoustic kaskaskia ashley consortium pastime accredit impracticable must otherwise deterring",1,Enron
Re: Deploy Perl script on Windows,"On 6/8/07, Octavian Rasnita  wrote:
> Search for PAR on search.cpan.org.

Having just done this, I can tell you that the PAR shipped by
ActiveState is not up to par.  You will need to install PAR and
PAR::Packer manually.  I don't believe there are any XS based modules,
so you should be able to just copy nmake* to somewhere in your path
and run*

perl -MCPAN -e install PAR::Packer

* http://search.cpan.org/~smueller/PAR-0.973/lib/PAR.pm
* http://search.cpan.org/~smueller/PAR-Packer-0.975/lib/PAR/Packer.pm
* http://support.microsoft.com/default.aspx?scid=kb;en-us;Q132084
* CPAN will ask you to configure the system at this point, the
defaults are fine, but you will want to choose mirrors close to where
you live.

-- 
To unsubscribe, e-mail: beginners-unsubscribe@perl.org
For additional commands, e-mail: beginners-help@perl.org
http://learn.perl.org/


",0,TREC-07
Do you need medications - Save up to 70%!,"Best Prices on the net,
Free Shipping TOP FDA-O.N.L.I.N.E PHARMACY Approved.
Information on medications help you find what you need.
Trusted and Secured And Hottest Offers.
We carry all prescription and non prescription medication.
What are the Premier Pharmacy benefits ?
 - Excellent pricing
 - No embarrassment - prescriptions are always confidential 
 - No waiting rooms to increase your chances of getting sick
 - All medications are FDA approved
 - No appointments - order prescriptions anytime, anywhere
 - Ordering is easy at our o.n.l.i.n.e pharmacy service!
You can compare our prices here
We offer fast and discrete shipping & our staff is at you service 24X7.exipohow.com - Voted best o.n.l.i.n.e  pharmacy for 2005-2007Sat, 26 May 2007 22:48:11 -0540 59MD(LJFO


",1,TREC-07
Re: [R] Linear Discriminant Analysis,"So what about asking your teacher (who seems to be Peter Filzmoser) and  try to find out your homework yourself? You might want to think about some assumptions that must hold for LDA  and look at the class of your explaining variables ... Uwe Ligges Soare Marcian-Alin wrote: > Hello, >  > I want to make a linear discriminant analysis for the dataset olive, and I > get always this error:# > Warning message: > variables are collinear in: lda.default(x, grouping, ...) >  > ## Loading Data > library(MASS) > olive <- url("" > http://www.statistik.tuwien.ac.at/public/filz/students/multi/ss07/olive.R"") > print(load(olive)) >  > y <- 1:572 > x <- sample(y) > y1 <- x[1:286] >  > train <- olive[y1,-11] > test  <- olive[-y1,-11] >  > summary(train) > summary(test) >  > table(train$Region) > table(test$Region) >  > # Linear Discriminant Analysis > z <- lda(Region ~ . , train) > predict(z, train) >  > z <- lda(Region ~ . , test) > predict(z, test) >  > Thanks in advance! >  >  >  > ------------------------------------------------------------------------ >  > ______________________________________________ > R-help@stat.math.ethz.ch mailing list > https://stat.ethz.ch/mailman/listinfo/r-help > PLEASE do read the posting guide http://www.R-project.org/posting-guide.html > and provide commented, minimal, self-contained, reproducible code. ______________________________________________ R-help@stat.math.ethz.ch mailing list https://stat.ethz.ch/mailman/listinfo/r-help PLEASE do read the posting guide http://www.R-project.org/posting-guide.html and provide commented, minimal, self-contained, reproducible code.",0,TREC-07
Re: A few multiple dispatch questions,"On Tuesday 05 August 2008 12:01:29 Larry Wall wrote:

> I believe ""veto"" is giving the wrong idea here as something that
> happens after the fact.  What's the term for only allowing ""acceptable""
> candidates to put their names on the ballot?

""disenfranchise""

-- c


",0,CEAS-08
RE: Tablet PC,"Oh yeah, the link for more info:

http://www.microsoft.com/windowsxp/tabletpc/default.asp

- Jim
http://xent.com/mailman/listinfo/fork",0,Assassin
CNN.com Daily Top 10,">+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= >THE DAILY TOP 10 >from CNN.com >Top videos and stories as of: Aug  1, 2008  3:58 PM EDT >+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+=+= TOP 10 VIDEOS 1. PARIS HILTON TAKES ON MCCAIN http://www.cnn.com/video/partners/email/index.html?url=/video/politics/2008/08/06/wynter.paris.hilton.ad.cnn Paris Hilton swings back at Republican presidential candidate John McCain. Kareen Wynter reports. 2. BIKINI BARISTA STAND CLOSED http://www.cnn.com/video/partners/email/index.html?url=/video/living/2008/08/06/pkg.bikini.baristas.barred.kiro 3. TOT GRANDMA REACTS TO CHARGES http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/06/grace.mom.charged.cnn 4. MAGGOTS: THE NEW ANTIBIOTIC? http://www.cnn.com/video/partners/email/index.html?url=/video/health/2008/08/06/mcginty.uk.maggot.antibiotic.itn 5. ON YOUR MARK, GET SET, FLOAT! http://www.cnn.com/video/partners/email/index.html?url=/video/living/2008/08/06/vo.in.balloon.race.wxin 6. 'LOVE TRIANGLE MURDER' http://www.cnn.com/video/partners/email/index.html?url=/video/crime/2008/08/06/dcl.london.in.session.trial.update.insession 7. TERI GARR'S DECADES OF HIDING http://www.cnn.com/video/partners/email/index.html?url=/video/health/2008/08/06/gupta.teri.garr.cnn 8. FAKE SEX AD DRAWS LAWSUIT http://www.cnn.com/video/partners/email/index.html?url=/video/tech/2008/08/06/dnt.wa.sex.ad.lawsuit.komo 9. 'WE NEED AN ECONOMIC SURGE' http://www.cnn.com/video/partners/email/index.html?url=/video/politics/2008/08/06/sot.mccain.econo.surge.cnn 10. OBAMA GOT HIT IN THE HEAD? http://www.cnn.com/video/partners/email/index.html?url=/video/politics/2008/08/06/sot.obama.asked.why.running.cnn TOP 10 STORIES 1. N. DAKOTA'S REAL-LIFE JED CLAMPETT http://www.cnn.com/2008/LIVING/wayoflife/08/05/oil.boomtown/index.html In the midst of a N. Dakota oil boom, a man born during the Great Depression is making a fortune after striking oil on his property. 2. OBAMA'S UPHILL POLLING BATTLE http://www.cnn.com/2008/POLITICS/08/06/obama.polls/index.html 3. D.A.: SEX CASE ABOUT 'PURE EVIL' http://www.cnn.com/2008/CRIME/08/06/sex.club.trial.ap/index.html 4. ANOTHER SIDE OF AMY RAY http://www.cnn.com/2008/SHOWBIZ/Music/08/06/amy.ray/index.html 5. COMMENTARY: BILL CLINTON'S UPSET http://www.cnn.com/2008/US/08/06/martin.billclinton/index.html 6. WOMEN DRIVEN TO DONATE EGGS http://www.cnn.com/2008/HEALTH/08/05/selling.eggs/index.html 7. ANTHRAX SUSPECT CALLED MISLEADING http://www.cnn.com/2008/CRIME/08/06/anthrax.case/index.html 8. MOUNTAIN LION IN BEDROOM KILLS DOG http://www.cnn.com/2008/US/08/06/mountain.lion.ap/index.html 9. REPORTS: MISTAKES DOOMED UTAH MINE http://www.cnn.com/2008/US/08/06/utah.mine.anniv.ap/index.html 10. BIN LADEN'S FORMER DRIVER GUILTY http://www.cnn.com/2008/CRIME/08/06/hamdan.trial/index.html CNN, The Most Trusted Name in News >    Cable News Network LP, LLLP.                       < >    One CNN Center, Atlanta, Georgia 30303             < >    2008 Cable News Network LP, LLLP.                  < >    A Time Warner Company.                             < >    All Rights Reserved.                               < ========================================================= =   Please send comments or suggestions by going to     = =           http://www.cnn.com/feedback/                = =                                                       = =      Read our privacy guidelines by going to          = =         http://www.cnn.com/privacy.html               = ========================================================= You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings. To manage your settings, go to: http://www.cnn.com/linkto/bn.manage.html To unsubscribe from the Daily Top 10, go to http://cgi.cnn.com/m/clik?e=b3aa9e33ae206a91af6cd9f84dfb96a2@gvc.ceas-challenge.cc&l=cnn-dailytop10",1,CEAS-08
Helping Men with low sex drives,"Feed your man meat with good food and water and work him well, click here. http://www.waitscore.com/
",1,CEAS-08
press release,"the business opportunity alliance releases the
sale of new plug - n - playsmart cd . ground breaking cd , new biz - op gold
smart cd , is already storming themarket . bizoppinabox , tampa florida - january
20 , 2002 - business today announced theirnew
biz - op gold smart cd , a plug and play software , which features stateof the
art marketing technology , and training for the internet entrepreneur . the new
biz - op gold cd brings first to market absolutely everything anentrepreneur
needs to go from kindergarten to masters in internet marketing , all in one
place . the new new biz - op gold smart cd , includes the microsoftlicensed
boiab internet explorer web browser for home based business , earth - link
sprint dial - up , cable and dsl services , is the most affordable , and
comprehensive resource in the offline or online world , with featuresthat no
one else in the industry has . with the ability to update the cdmonthly the
entrepreneur will be able to keep pace with the latest resourcesand software
available on the internet . "" the new biz - opp gold smart cd , contains
everything the entrepreneur needsto take their business to the next level ,
and will be available worldwide , said gary shawkey , ceo of business
opportunity alliance . pricing and availabilitythe new new
biz - op gold smart cd is available for purchase as of january 20 th 2001 and
will be shipped starting february 8 th . cd will be availablethrough the
business opportunity alliance ( http : / / www . bizoppalliance . com / memberl 849
, by telephone at 800 - 727 - 6815 and give
code # 1849 and through our 60 , 000 authorized distributors worldwide .
pricing and availability of the new biz - op gold smart cd and further details
of the features of the cd are listed below . new biz - op gold smart cd for
a retail price of $ 49 . 97 ( us ) includes : boiab internet explorer 6 . 0
( a microsoft exclusively licensed product ) complete email links
( with folders ! ) links to advertising sites that work ( and
ideas ! ) search engines webmaster tools
simple plug n ' play installation a 2 year old could do !
and much more . . . get the cd rom and become an
associate ! associates are eligible to receive $ 25 commissions
onthe sale of each cd . specifically , our bizopp gold cd software
includes : ads ideas 1000 ' s of links working email
folders submission ideas contact information personal
tagging program site links 1000 ' s of classified ad sites
online virus scan paypal access email program links
webmaster tools incoming mail folders source codes
html editors search engines help desk tracking
system preview opt - in list system preview easy plug and play
installation and much , much more . . . cost for this biz - opp gold
smart cd is only $ 49 . 97 ( plus $ 6 . 79 shippingand handling for us / canada or
$ 11 . 79 for international shipments ! ) the business opportunity alliance
research and development team will beworking to provide the most advanced
and up to date marketing software andmarketing techniques for consumers of
the cd and have a top programming teamto configure upgrades to the software
which will be downloadable via theinternet for only $ 1 . 00 usd per
month . for more information , please click here http : / / www . promoneymail . com / memberl 849 this
is not a spam - we have had contact in the past , for removal from my list
email ardi 8 @ lycos . com with remove in the
subject box .",1,Enron
Proven Effective for 72 Hours.,"
""Ever since I started on your herbal supplement, Sharon says sex is so much more pleasurable for her, and she comes much more easily"". David, Florida, USA 

Increase both your thickness and length within a few short weeks - women simply love it when you have a large manhood. 

http://foldfeel.com/


",1,CEAS-08
A Behind The Scenes Look at Campaign 2008,"



 
 
 

 











 









This email is sent in compliance with strict anti-abuse and NO SPAM 
regulations. This is Absolutely not SPAM.
This message is sent in full compliance of the new U.S. Federal e-mail bill 
S.1618 Title III, Section 301, Paragraph (a)(2)(C).
This message was sent to our opt-in subscriber list and cannot be 
considered SPAM as long as it includes:
1) contact information, and 2) a way to be removed from future e-mailings. 
If this e-mail has reached you in error, or should you wish to be 
permanently removed from our opt-in, subscriber mailing list, please 
click here
. 
Opt-In Web Services, Casa 24, Urb. Villa Vista, Torremolinos, 29620, 
Spain.



",1,TREC-07
re : fw : invitation to 2001 energy finance conference - the,"university of texas at austin
joe ,
i shall probably ask tanya to attend . it coincides with parents '
weekend at stanford . please , send me the slides anyway .
i shall help tanya to prepare her presentation .
vince
from : joseph hrgovcic / enron @ enronxgate on 02 / 12 / 2001 09 : 47 am
to : vince j kaminski / hou / ect @ ect
cc :
subject : fw : invitation to 2001 energy finance conference - the university of
texas at austin
vince ,
i understand you ' ll be speaking at the cefer conference . gary taylor , the
head of marketing in the weather deriv . group , would like to know if you plan
on mentioning weather derivatives at all and that if you do , he has numerous
existing slides and presentations that might be useful to you .
joe
- - - - - original message - - - - -
from : angela dorsey [ mailto : angela . dorsey @ bus . utexas . edu ]
sent : wednesday , january 10 , 2001 9 : 06 pm
to : angela dorsey
cc : ehud ronn ; sheridan titman ( e - mail )
subject : invitation to 2001 energy finance conference - the university of
texas at austin
colleagues and friends of the center for energy finance education and
research ( cefer ) :
happy new year ! hope you all had a wonderful holiday season .
on behalf of the university of texas finance department and cefer , we
would
like to cordially invite you to attend our :
2001 energy finance conference
austin , texas
february 22 - 23 , 2001
hosted by the university of texas finance department
center for energy finance education and research
dr . ehud i . ronn and dr . sheridan titman are currently in the process of
finalizing the details of the conference agenda . we have listed the
agenda
outline below to assist you in your travel planning . each conference
session will be composed of a panel discussion between 3 - 4 guest
speakers
on the designated topic .
as supporters of the center for energy finance education and research ,
representatives of our trustee corporations ( enron , el paso , reliant ,
conoco , and southern ) will have the $ 500 conference fee waived .
the conference package includes thursday evening ' s cocktails &
dinner and hotel / ut shuttle service , as well as friday ' s conference
meals ,
session materials and shuttle service . travel to austin and hotel
reservations are each participant ' s responsibility .
a limited number of hotel rooms are being tentatively held at the
radisson
hotel on town lake under the group name "" university of texas finance
department "" for the nights of thursday , 2 / 22 / 01 and friday , 2 / 23 / 01 ( the
latter evening for those who choose to stay in austin after the
conference ' s conclusion ) . to guarantee room reservations , you will need
to
contact the radisson hotel at ( 512 ) 478 - 9611 no later than monday ,
january
22 nd , and make your reservations with a credit card . please let me know
when you have made those arrangements so that i can make sure the
radisson
gives you the special room rate of $ 129 / night .
please rsvp your interest in attending this conference no later than
january 22 nd to angela . dorsey @ bus . utexas . edu , or ( 512 ) 232 - 7386 , as
seating
availability is limited . please feel free to extend this invitation to
your colleagues who might be interested in attending this conference .
center for energy finance education and research
program of the 2001 energy finance conference
february 22 - 23 , 2001
thursday , feb 22 :
3 : 00 p . m . reserved rooms at the radisson hotel available for
check - in
5 : 30 p . m . bus will pick up guests at the radisson for transport to
ut club *
6 : 00 p . m . cocktails , ut club 9 th floor
7 : 00 p . m . dinner , ut club
8 : 00 p . m . keynote speaker
9 : 00 p . m . bus will transport guests back to hotel
friday , feb 23 :
7 : 45 a . m . bus will pick up at the radisson for transport to ut
8 : 30 a . m . session 1 - real options
panelists : jim dyer , ut ( chair )
sheridan titman , ut
john mccormack , stern stewart & co .
10 : 00 a . m . coffee break
10 : 15 a . m . session 2 - deregulation
panelists : david eaton , ut ( chair )
david spence , ut
jeff sandefer , sandefer capital
partners / ut
peter nance , teknecon energy risk
advisors
11 : 45 a . m . catered lunch & keynote speaker
1 : 30 p . m . guest tour - eds financial trading & technology center
2 : 00 p . m . session 3 - risk management
panelists : keith brown , ut ( chair )
vince kaminski , enron
alexander eydeland , southern co .
ehud i . ronn , ut
3 : 30 p . m . snack break
3 : 45 p . m . session 4 - globalization of the energy business
panelists : laura starks , ut ( chair )
bob goldman , conoco
ray hill , southern co .
5 : 15 p . m . wrap - up
5 : 30 p . m . bus picks up for transport to airport / dinner
6 : 30 p . m . working dinner for senior officers of energy finance
center
trustees
* we have made arrangements to provide shuttle service between the
radisson
hotel and ut during the conference . however , if you choose to stay at an
alternative hotel , then transportation to conference events
will become your responsibility .
* * * * * * * * * * * * * *
angela dorsey
assistant director
center for energy finance education & research
the university of texas at austin
department of finance , cba 6 . 222
austin , tx 78712
angela . dorsey @ bus . utexas . edu
* * * * * * * * * * * * * *",0,Enron
fwd : wazzzup 2 nd version,"- - - - - - - - - - - - - - - - - - - - - - forwarded by tori kuykendall / hou / ect on 03 / 03 / 2000
12 : 32 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : garrett tripp 03 / 03 / 2000 11 : 28 am
to : mike grigsby / hou / ect @ ect , tori kuykendall / hou / ect @ ect , frank
ermis / hou / ect @ ect , matthew lenhart / hou / ect @ ect
cc :
subject : fwd : wazzzup 2 nd version
- - - - - - - - - - - - - - - - - - - - - - forwarded by garrett tripp / pdx / ect on 03 / 03 / 2000 11 : 23
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
carla hoffman
03 / 03 / 2000 08 : 05 am
to : cara semperger / pdx / ect @ ect , garrett tripp , phillip platter / hou / ect @ ect ,
julie sarnowski / hou / ect @ ect
cc :
subject : fwd : wazzzup 2 nd version
- - - - - - - - - - - - - - - - - - - - - - forwarded by carla hoffman / pdx / ect on 03 / 03 / 2000 08 : 08
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
enron capital 3 mar 2000 15 : 46 : 45 - 0000
received : from smtp - 165 . 97 . 10 . 16 by mail 2 . hayboonet . com with microsoft
smtpsvc ( 5 . 5 . 1774 . 114 . 11 ) ; fri , 3 mar 2000 09 : 39 : 23 - 0600
received : from mail . haynesboone . com ( [ 165 . 97 . 9 . 8 ] ) by 165 . 97 . 10 . 16 ( norton
antivirus for internet email gateways 1 . 0 ) ; fri , 03 mar 2000 15 : 55 : 32 0000
( gmt )
received : from dallas - message _ server by mail . haynesboone . com with
novell _ groupwise ; fri , 03 mar 2000 09 : 41 : 20 - 0600
message - id :
x - mailer : novell groupwise internet agent 5 . 5 . 2 . 1
date : fri , 03 mar 2000 09 : 40 : 31 - 0600
from : "" david mcinturff ""
to : "" scot crilly "" ,
, , ,
, , ,
subject : wazzzup 2 nd version
mime - version : 1 . 0
content - type : multipart / mixed ; boundary = "" = _ 025 b 8830 . 1 f 7 el 420 ""
return - path : mcintud @ haynesboone . com
content - length : 1722030
too damn funny
- waz . avi",0,Enron
Re: talloc_stack.c?,"On Mon, Jul 02, 2007 at 05:36:54PM +1000, tridge@samba.org wrote: > If there is a loop at one level then the stack idea won't really help > with the peak memory usage (which is really what matters).  If you have a strict loop then you might want to do something like for (i=0; i<1000; i++) { 	TALLOC_CTX *frame = talloc_stackframe(); 	do_something(); 	talloc_free(frame); } The point of the talloc stack is that in the general non-looping case the code is not cluttered at all and it correctly cleans up, and if you find peaks it is very easy to get rid of them. Volker",0,TREC-07
Re: [sugar] olpc-games osc protocol,"-----BEGIN PGP SIGNED MESSAGE-----
Hash: SHA1

On Mon, 11 Jun 2007 at 13:06:16 +0200, Simon Schamijer wrote:
> memosono is using the osc protocol 
> (http://opensoundcontrol.org/spec-1_0) to communicate with the game 
> server and to talk to the csound server. I think it is an easy to use 
> protocol and maybe some other games or activities want to use it as well.

This protocol seems to be rather like D-Bus, but different. We're using
D-Bus as the basis for most OLPC things - is there a compelling reason
not to here?

In the Telepathy-based collaboration framework Collabora are developing for
the OLPC (including the Presence Service), activities are shared over
""tubes"". These can currently transport a distributed D-Bus over reliable
streams, with work in progress to do TCP-like reliable streams between
peers too. Transporting UDP-like datagrams over tubes, using ICE or
Jingle for NAT traversal, is a future enhancement.

The advantage of using Tubes is that we're already thinking about issues
which prevent peer-to-peer networks from working in practice, mainly NAT
traversal. Tubes provide a consistent API which will remain consistent
and transparent as we add additional NAT traversal methods and transport
mechanisms; the API is also consistent between the server-based and
link-local collaboration, and any future collaboration mechanisms. We will
also transport instant messages related to an activity, and the necessary
metadata to support the Buddy- and Activity-centric programming model used
in Sugar.

I've only looked at the OSC spec briefly, but you seem to be assuming
synchronized real-time clocks. Is this a requirement we can impose on XOs?
If it *is*, we could use it for the link-local communication to provide
additional ordering guarantees; but I suspect it isn't something we can
assume.

	Simon
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1.4.6 (GNU/Linux)
Comment: OpenPGP key: http://www.pseudorandom.co.uk/2003/contact/ or pgp.net

iD8DBQFGbVdNWSc8zVUw7HYRAu7oAKCmdM+17egxOXKQpf/GgQZcIbwD2QCeKvWt
Ok1jeRmNP2AKcRC8okmopBI=
=ATo2
-----END PGP SIGNATURE-----
_______________________________________________
Sugar mailing list
Sugar@lists.laptop.org
http://lists.laptop.org/listinfo/sugar

",0,TREC-07
workshop announcement for distribution,"* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * call for papers call for papers call for papers * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * acl / coling-98 workshop on partially automated techniques for transcribing naturally occurring , continuous speech august 16 , 1998 ( following acl / coling-98 ) university of montreal , montreal ( quebec , canada ) call for papers description - - - - - - - - - - the development of robust systems for speech analysis and synthesis depends crucially on the availability of well-annotated corpora of naturally occurring , continuous speech . yet existing speech corpora are rarely well-annotated . a key to proper annotation is the availability of partially automated systems for linking selected portions of a visual display of speech to the corresponding transcriptions . to be of practical use , such systems must be able to handle large files of digitized speech and they should permit transcriptions at different levels of analysis . this workshop will be devoted to the presentation and discussion of papers and software demonstrations which reflect the current state of the art . we invite proposals of up to 800 words which address the development , use , evaluation , or potential commercial application of such systems . submissions - - - - - - - - - - only email submissions in latex or ascii will be accepted . authors should submit an abstract of no more than 800 words to : trans98 @ cs . concordia . ca style files and templates for latex submissions can be found at http : / / colingacl98 . iro . umontreal . ca / styles . html the official language of the conference is english . important deadlines - - - - - - - - - - - - - - - - - - submission deadline : april 15 , 1998 notification date : may 15 , 1998 camera ready copy due : june 15 , 1998 program committee - - - - - - - - - - - - - - - - - - - nancy belmore concordia university , canada sabine bergler concordia university , canada john esling univ . of victoria , canada eric keller univ . of lausanne , switzerland roland kuhn panasonic technologies , inc . , u . s . a . douglas o'shaughnessy inrs - telecommunications , canada ching y . suen concordia university , canada organizers - - - - - - - - - nancy belmore concordia university , canada sabine bergler concordia university , canada douglas o'shaughnessy inrs - telecommunications , canada registration - - - - - - - - - - - there is a discounted workshop fee for participants of coling / acl . participants who are not registered for coling / acl will have to pay the full workshop fee ( to be announced shortly ) . information - - - - - - - - - - any requests for information should be sent to trans98 @ cs . concordia . ca
",0,Ling
re:Healthy life is your dream?,"Dear valued member.
United American Health Association warns you about the risks you run while purchasing your meds on the Internet. Please, read this letter to the end.
If you prefer shopping for meds on the Internet, remember three basic tips on how to choose a reliable e-shop:1)      the pharmacy should be well-known (for example, USDrugs)2)      it should be licensed3)      the drugs offered should be generic
Please, dont be indifferent to the questions of your own health  choose qualitative meds!
--
If you have any more questions please contact to me.
Please include all previous messages in your email's.
-------------------------------------------
Thank you and best regards
Donna Reeves
Email: 3stocknews@toserveman.com
WWW: http://imiklk.freakco.hk/?gmolsxghywzf

",1,TREC-07
[R] Package contrast error,"Trying to use contrast to look at differences within an lme lme.fnl.REML <- lme(Max ~ S + Tr + Yr + Tr:Yr, random = ~1 |TID,   method = ""REML"") I have three levels of Tr I'm trying to contrast among different   years (R, T97, T98), years = 1997-1999, so I'm interested in   contrasts of the interaction term.  > anova(lme.fnl.REML)              numDF denDF   F-value p-value (Intercept)     1   168 19255.389  <.0001 S               1   168     5.912  0.0161 Tr              2   116    15.919  <.0001 Yr              1   168    77.837  <.0001 Tr:Yr           2   168    47.584  <.0001  > summary(lme.fnl.REML) Linear mixed-effects model fit by REML Data: NULL         AIC      BIC    logLik    580.6991 613.5399 -281.3496 Random effects: Formula: ~1 | TID          (Intercept)  Residual StdDev:   0.3697006 0.5316062 Fixed effects: Max ~ S + Tr + Yr + Tr:Yr                  Value Std.Error  DF   t-value p-value (Intercept)  -13.5681  113.2623 168 -0.119793  0.9048 SM             0.2187    0.0957 168  2.284605  0.0236 TrT97       1375.5897  164.0060 116  8.387434  0.0000 TrT98       2890.9462  455.3497 116  6.348848  0.0000 Yr             0.0099    0.0567 168  0.174005  0.8621 TrT97:Yr      -0.6883    0.0821 168 -8.384798  0.0000 TrT98:Yr      -1.4463    0.2279 168 -6.347310  0.0000 Correlation:           (Intr) SM     TrT97  TrT98  Yr     TT97:Y SM        0.067 TrT97    -0.691 -0.049 TrT98    -0.248 -0.001  0.171 Yr       -1.000 -0.067  0.691  0.248 TrT97:Yr  0.691  0.048 -1.000 -0.171 -0.691 TrT98:Yr  0.248  0.001 -0.171 -1.000 -0.248  0.171 Standardized Within-Group Residuals:          Min          Q1         Med          Q3         Max -2.19017911 -0.58108001 -0.04983642  0.57323031  2.39811353 Number of Observations: 291 Number of Groups: 119  > When I try to get the contrast I get one of two errors each time. Trying for a paired contrast... tst <- contrast(lme.fnl.REML, a=list(Yr=levels(Yr), Tr=""R""), b=list  (Yr=levels(Yr, Tr=""T97""))) Error in gendata.default(fit = list(modelStruct = list(reStruct = list  ( : 	not enough factors Trying to include the other factor to make R happy....  > tst <- contrast(lme.fnl.REML, a=list(Yr=levels(Yr), Tr=""R""), b=list  (Yr=levels(Yr, Tr=""T97"")), c=list(Yr=levels(Yr, Tr=""T98"")) + ) Error in contrastCalc(fit, ...) : argument 4 matches multiple formal   arguments Can anyone help with the syntax here? Thanks Ken 	[[alternative HTML version deleted]] ______________________________________________ R-help@stat.math.ethz.ch mailing list https://stat.ethz.ch/mailman/listinfo/r-help PLEASE do read the posting guide http://www.R-project.org/posting-guide.html and provide commented, minimal, self-contained, reproducible code.",0,TREC-07
remember me ? kaufmann jmr 48036 from aim,"find out what the hype is all about
more info below
brian was a boy with down ' s syndrome . he was taking several medications . brian came from a nurturing family and extended family who provided him with every opportunity . his mother was a teacher and wanted what was best for him . he exhibited no language and was considerably behind his other friends with down ? s syndrome . we set up a noun program at school . at first he seemed disinterested . he looked at the pictures and sucked his thumb . the more we encouraged him to engage the keyboard , the more he sucked his thumb . we then paired him with a child who was very interested in the noun program . suddenly the two were fighting over who was next to pick a picture . he worked several times a week at the computer . at his 3 - year iep , the team shook their heads . they didn ' t understand . despite the track record of many students with down ? s syndrome , brian ' s language was his best skill . i smiled and his mother winked at me .
if you can ' t describe what you are doing as a process , you don ' t know what you ' re doing . w . edwards deming",1,Enron
